canonicalID,proballersID,flashscoreID,teamName,teamSubtext
0001,15083,,Iverioni,
0002,15192,,Tkibuli Orbi,
0003,3181,,Rashi Tbilisi,
0004,13196,,Gurjaani,
0005,14672,,Margveti,
0006,2193,,Rustavi,
0007,1001,,Svendborg Rabbits,
0008,13317,,BMS Herlev,
0009,14317,,Bears Academy,
0010,2158,,Vaerlose Blue Hawks,
0011,999,,Randers Cimbria,
0012,1637,,Team FOG Naestved,
0013,,xOGT6AD5,Kataja,
0014,,Qo5RVkD5,Helsinki Seagulls,
0015,2635,,Nelson Giants,
0016,13670,,Franklin Bulls,
0017,2637,,Southland Sharks,
0018,2636,,Manawatu Jets,
0019,2638,,Taranaki Mountainairs,
0020,15307,,Tauranga Whai,
0021,1810,,Iran,
0022,831,,New Zealand,
0023,13228,,Syria,
